Date,Close
1/2/2020,65.46
1/3/2020,65.7
1/6/2020,66.48
1/7/2020,66.48
1/8/2020,64.94
1/9/2020,66.07
1/10/2020,65.42
1/13/2020,65.13
1/14/2020,65.14
1/15/2020,65
1/16/2020,65.07
1/17/2020,65.07
1/21/2020,64.03
1/22/2020,63.01
1/23/2020,63.14
1/24/2020,62.62
1/27/2020,61.04
1/28/2020,61.18
1/29/2020,60.49
1/30/2020,60.89
1/31/2020,59.43
2/3/2020,59.18
2/4/2020,56.49
2/5/2020,58.78
2/6/2020,58.41
2/7/2020,57.99
2/10/2020,57.87
2/11/2020,58.71
2/12/2020,59.76
2/13/2020,58.82
2/14/2020,58.62
2/18/2020,58.3
2/19/2020,59.26
2/20/2020,58.88
2/21/2020,58.44
2/24/2020,56.38
2/25/2020,53.83
2/26/2020,51.17
2/27/2020,47.13
2/28/2020,48.42
3/2/2020,49.23
3/3/2020,48.12
3/4/2020,49.43
3/5/2020,47.7
3/6/2020,45.33
3/9/2020,34.07
3/10/2020,34.88
3/11/2020,32.56
3/12/2020,28.2
3/13/2020,31.38
3/16/2020,26.08
3/17/2020,26.25
3/18/2020,22.67
3/19/2020,25.59
3/20/2020,26.84
3/23/2020,24.55
3/24/2020,30.74
3/25/2020,30.94
3/26/2020,32.09
3/27/2020,29.25
3/30/2020,29.29
3/31/2020,30.8
4/1/2020,29.62
4/2/2020,33.86
4/3/2020,32.91
4/6/2020,32.8
4/7/2020,33.27
4/8/2020,35.68
4/9/2020,34.73
4/13/2020,34.3
4/14/2020,34.08
4/15/2020,32.2
4/16/2020,31.07
4/17/2020,35.26
4/20/2020,34.57
4/21/2020,33.19
4/22/2020,34.98
4/23/2020,36.18
4/24/2020,36.09
4/27/2020,37.15
4/28/2020,38.48
4/29/2020,42.21
4/30/2020,42.1
5/1/2020,39.14
5/4/2020,40.36
5/5/2020,40.92
5/6/2020,40.49
5/7/2020,42.42
5/8/2020,43.08
5/11/2020,42.27
5/12/2020,41.58
5/13/2020,39.89
5/14/2020,39.93
5/15/2020,40.87
5/18/2020,43.6
5/19/2020,42.67
5/20/2020,44.15
5/21/2020,43.72
5/22/2020,43.28
5/26/2020,43.67
5/27/2020,44.67
5/28/2020,43.01
5/29/2020,42.18
6/1/2020,43.39
6/2/2020,44.2
6/3/2020,45.12
6/4/2020,44.71
6/5/2020,48.59
6/8/2020,50.31
6/9/2020,48.63
6/10/2020,45.91
6/11/2020,42.12
6/12/2020,43.73
6/15/2020,43.35
6/16/2020,45.11
6/17/2020,44.02
6/18/2020,44.45
6/19/2020,43.7
6/22/2020,43.56
6/23/2020,43.81
6/24/2020,40.99
6/25/2020,42.06
6/26/2020,40.35
6/29/2020,41.3
6/30/2020,42.02
7/1/2020,40.74
7/2/2020,41.78
7/6/2020,41.63
7/7/2020,40.64
7/8/2020,41.04
7/9/2020,38.35
7/10/2020,39.69
7/13/2020,39.66
7/14/2020,41.31
7/15/2020,41.62
7/16/2020,41.59
7/17/2020,39.96
7/20/2020,39.33
7/21/2020,41.66
7/22/2020,40.89
7/23/2020,40.46
7/24/2020,40.28
7/27/2020,39.77
7/28/2020,38.96
7/29/2020,39.94
7/30/2020,37.64
7/31/2020,37.39
8/3/2020,36.71
8/4/2020,37.64
8/5/2020,38.02
8/6/2020,38.05
8/7/2020,38.3
8/10/2020,39.64
8/11/2020,39.71
8/12/2020,41.66
8/13/2020,40.63
8/14/2020,40.82
8/17/2020,40.7
8/18/2020,40.33
8/19/2020,39.65
8/20/2020,38.77
8/21/2020,38.16
8/24/2020,38.87
8/25/2020,38.85
8/26/2020,37.56
8/27/2020,38.15
8/28/2020,38.38
8/31/2020,37.89
9/1/2020,37.16
9/2/2020,36.38
9/3/2020,35.99
9/4/2020,35.86
9/8/2020,34.06
9/9/2020,34.46
9/10/2020,32.92
9/11/2020,33.11
9/14/2020,33.52
9/15/2020,33.8
9/16/2020,35.08
9/17/2020,36.09
9/18/2020,35.87
9/21/2020,34.36
9/22/2020,34.3
9/23/2020,32.92
9/24/2020,33.6
9/25/2020,33.7
9/28/2020,33.71
9/29/2020,32.46
9/30/2020,32.84
